Word	FREQcount	CDcount	Spellcheck
abaixar	552	471	TRUE
abaixaram	10	10	TRUE
abaixarei	4	4	TRUE
abaixarem	26	23	TRUE
abaixaremos	4	4	TRUE
abaixaria	11	11	TRUE
abaixarmos	6	6	TRUE
abaixará	11	11	TRUE
abaixase	4	3	FALSE
abaixasse	9	8	TRUE
abaixaste	4	3	TRUE
abaixate	24	16	FALSE
abaixava	5	5	TRUE
abaixe	1855	1207	TRUE
abaixea	24	17	FALSE
abaixei	46	44	TRUE
abaixem	469	342	TRUE
abaixeme	12	7	FALSE
abaixemnas	4	3	FALSE
abaixemno	4	3	FALSE
abaixemnos	5	3	FALSE
abaixemos	6	6	TRUE
abaixemse	474	331	FALSE
abaixeo	9	9	FALSE
abaixese	766	530	FALSE
abaixo	3997	2468	TRUE
abaixoassinado	21	11	FALSE
abaixoassinados	5	5	FALSE
abaixou	74	69	TRUE
abaixouse	3	3	FALSE
abaixála	8	8	FALSE
abaixálo	7	7	FALSE
abajo	8	4	FALSE
abajour	5	5	FALSE
abajur	116	88	TRUE
abajures	14	13	TRUE
abala	31	29	TRUE
abalada	141	131	TRUE
abaladas	12	12	TRUE
abalado	151	142	TRUE
abalados	33	32	TRUE
abalam	8	7	TRUE
abalamos	3	3	TRUE
abalando	5	5	TRUE
abalar	88	83	TRUE
abalaram	15	15	TRUE
abalaria	10	10	TRUE
abalariam	4	4	TRUE
abalará	7	7	TRUE
abalarão	4	4	TRUE
abale	11	11	TRUE
abalei	4	4	TRUE
abalo	34	29	TRUE
abalone	15	4	TRUE
abalos	10	10	TRUE
abalou	67	66	TRUE
abalroar	3	3	TRUE
abalxo	4	3	FALSE
abalála	3	3	FALSE
abana	31	25	TRUE
abanador	3	3	TRUE
abanam	9	4	TRUE
abanando	65	55	TRUE
abanar	81	62	TRUE
abanarse	3	3	FALSE
abanava	4	4	TRUE
abandona	262	230	TRUE
abandonada	534	446	TRUE
abandonadas	108	98	TRUE
abandonado	858	741	TRUE
abandonados	201	175	TRUE
abandonai	6	6	TRUE
abandonala	3	3	FALSE
abandonalo	4	4	FALSE
abandonalos	3	3	FALSE
abandonam	89	87	TRUE
abandoname	5	5	FALSE
abandonamos	71	67	TRUE
abandonando	189	173	TRUE
abandonandoo	5	5	FALSE
abandonar	1500	1207	TRUE
abandonara	9	9	TRUE
abandonaram	259	231	TRUE
abandonaramme	7	6	FALSE
abandonaramno	4	4	FALSE
abandonarei	76	70	TRUE
abandonarem	14	14	TRUE
abandonaremos	32	30	TRUE
abandonaria	91	81	TRUE
abandonariam	7	7	TRUE
abandonarme	20	19	FALSE
abandonarmos	13	13	TRUE
abandonarnos	4	4	FALSE
abandonarte	4	4	FALSE
abandonará	70	64	TRUE
abandonarão	18	18	TRUE
abandonas	5	5	TRUE
abandonasse	42	41	TRUE
abandonassem	10	10	TRUE
abandonasses	3	3	TRUE
abandonaste	27	25	TRUE
abandonasteme	3	3	FALSE
abandonastes	8	7	TRUE
abandonava	13	13	TRUE
abandonavam	8	7	TRUE
abandone	341	287	TRUE
abandonei	269	245	TRUE
abandoneio	4	4	FALSE
abandonem	105	83	TRUE
abandonemos	12	11	TRUE
abandones	18	15	TRUE
abandono	215	194	TRUE
abandonos	3	3	TRUE
abandonou	1145	943	TRUE
abandonoua	5	5	FALSE
abandonoume	18	16	FALSE
abandonounos	6	6	FALSE
abandonouo	5	5	FALSE
abandonoute	4	4	FALSE
abandonáio	8	7	FALSE
abandonála	93	89	FALSE
abandonálas	8	8	FALSE
abandonálo	118	116	FALSE
abandonálos	46	45	FALSE
abandonámos	3	3	FALSE
abandonãlo	3	3	FALSE
abandou	7	7	TRUE
abane	22	19	TRUE
abanei	7	5	TRUE
abano	10	9	TRUE
abanou	12	9	TRUE
abanálo	3	3	FALSE
abarca	10	10	TRUE
abarcando	3	3	TRUE
abarcar	8	7	TRUE
abarcou	3	3	TRUE
abarrotada	6	6	TRUE
abarrotadas	9	7	TRUE
abarrotado	25	24	TRUE
abarrotados	7	7	TRUE
abarrotam	5	5	TRUE
abarrotar	12	12	TRUE
abas	26	21	TRUE
abassi	12	4	TRUE
abastada	13	13	TRUE
abastadas	8	8	TRUE
abastado	18	17	TRUE
abastados	20	12	TRUE
abastece	31	30	TRUE
abastecem	10	10	TRUE
abastecemos	9	9	TRUE
abastecendo	20	20	TRUE
abastecer	160	139	TRUE
abastecerem	3	3	TRUE
abastecermos	4	4	TRUE
abasteceu	14	10	TRUE
abasteci	3	3	TRUE
abastecia	6	6	TRUE
abasteciam	4	4	TRUE
abastecida	7	7	TRUE
abastecidas	4	4	TRUE
abastecido	46	44	TRUE
abastecidos	21	17	TRUE
abastecimento	146	123	TRUE
abastecimentos	11	9	TRUE
abastecêlos	3	3	FALSE
abasteça	15	13	TRUE
abasteço	8	8	TRUE
abata	15	15	TRUE
abatam	7	6	TRUE
abatamno	3	3	FALSE
abatao	4	4	FALSE
abataos	3	3	FALSE
abate	96	83	TRUE
abatedores	4	3	TRUE
abatedouro	26	24	TRUE
abatelo	3	3	TRUE
abatem	10	10	TRUE
abatemos	24	23	TRUE
abatendo	12	12	TRUE
abater	198	161	TRUE
abateram	20	19	TRUE
abaterem	9	9	TRUE
abateremos	4	4	TRUE
abaterme	3	3	FALSE
abaternos	4	3	FALSE
abaterse	7	7	FALSE
abaterá	5	5	TRUE
abates	4	4	TRUE
abatesse	3	3	TRUE
abateste	3	3	TRUE
abateu	84	73	TRUE
abateuse	5	5	FALSE
abati	7	7	TRUE
abatida	68	61	TRUE
abatidas	18	17	TRUE
abatido	324	276	TRUE
abatidos	108	97	TRUE
abatimento	9	8	TRUE
abatêla	5	5	FALSE
abatêlo	39	34	FALSE
abatêlos	16	14	FALSE
abba	148	18	FALSE
abbas	66	25	FALSE
abberline	46	3	FALSE
abbeville	6	6	FALSE
abbey	126	38	FALSE
abbiamo	3	3	FALSE
abbie	20	6	FALSE
abbot	88	22	FALSE
abbotsford	3	3	FALSE
abbott	131	51	FALSE
abbotts	7	3	FALSE
abbu	12	6	FALSE
abby	1077	111	FALSE
abc	150	88	TRUE
abcdefg	3	3	FALSE
abcesso	6	5	TRUE
abcles	5	4	FALSE
abdallah	27	5	FALSE
abdel	31	8	FALSE
abdi	26	7	FALSE
abdica	7	7	TRUE
abdicado	3	3	TRUE
abdicam	4	4	TRUE
abdicando	10	9	TRUE
abdicar	48	47	TRUE
abdicaram	5	4	TRUE
abdicarmos	3	3	TRUE
abdicação	8	6	TRUE
abdicou	15	15	TRUE
abdiquei	6	6	TRUE
abdome	16	16	TRUE
abdomem	10	10	FALSE
abdomen	9	8	FALSE
abdomens	6	6	TRUE
abdominais	69	63	TRUE
abdominal	63	51	TRUE
abdomên	3	3	FALSE
abdou	8	3	FALSE
abdul	151	68	FALSE
abdula	5	3	FALSE
abdulaziz	4	3	FALSE
abduljabbar	10	7	FALSE
abdullah	48	27	FALSE
abduzida	9	8	TRUE
abduzidas	11	4	TRUE
abduzido	22	20	TRUE
abduzidos	8	6	TRUE
abduziram	3	3	TRUE
abdução	29	15	TRUE
abduções	13	6	TRUE
abdómen	5	4	FALSE
abdômem	6	4	FALSE
abdômen	120	94	TRUE
abdômens	3	3	TRUE
abe	436	120	TRUE
abeba	3	3	FALSE
abecedário	5	4	TRUE
abed	22	9	FALSE
abeiha	5	3	FALSE
abel	304	61	FALSE
abelardo	3	3	FALSE
abelha	411	217	TRUE
abelhas	459	238	TRUE
abelhinha	20	14	TRUE
abelhinhas	8	7	TRUE
abelhuda	13	12	TRUE
abelhudo	24	17	TRUE
abencoe	14	6	FALSE
abend	6	4	FALSE
abenãoada	4	4	FALSE
abenãoado	6	5	FALSE
abenãoar	3	3	FALSE
abenãoe	49	29	FALSE
abenãoou	5	4	FALSE
abençoa	92	70	TRUE
abençoada	267	228	TRUE
abençoadas	38	33	TRUE
abençoado	422	321	TRUE
abençoados	217	154	TRUE
abençoai	20	17	TRUE
abençoainos	3	3	FALSE
abençoam	10	10	TRUE
abençoame	11	9	FALSE
abençoamos	11	10	TRUE
abençoando	10	9	TRUE
abençoanos	4	4	FALSE
abençoar	107	92	TRUE
abençoaram	15	14	TRUE
abençoarei	5	4	TRUE
abençoaremos	3	3	TRUE
abençoaria	4	4	TRUE
abençoarme	3	3	FALSE
abençoará	23	19	TRUE
abençoasse	7	7	TRUE
abençoe	1766	1133	TRUE
abençoei	7	7	TRUE
abençoem	23	22	TRUE
abençoeme	31	27	FALSE
abençoenos	25	21	FALSE
abençoeo	7	7	FALSE
abençoes	6	6	TRUE
abençoo	12	10	TRUE
abençoou	99	94	TRUE
abençou	3	3	FALSE
abençoála	3	3	FALSE
abençoálo	6	6	FALSE
abençoálos	6	6	FALSE
abençôe	11	11	FALSE
abençôo	28	26	FALSE
abençõe	42	32	FALSE
abercrombie	23	15	FALSE
aberdeen	33	19	FALSE
abernathy	40	19	FALSE
aberrante	12	9	TRUE
aberrantes	5	5	TRUE
aberraãão	12	9	FALSE
aberração	450	313	TRUE
aberrações	159	99	TRUE
aberta	2791	2108	TRUE
abertamente	310	256	TRUE
abertas	570	515	TRUE
aberto	2490	1934	TRUE
abertos	1199	1019	TRUE
abertura	871	651	TRUE
aberturas	59	51	TRUE
abestado	4	3	TRUE
abestalhado	9	8	TRUE
abeto	17	11	TRUE
abetos	8	8	TRUE
abgail	5	4	FALSE
abhay	115	3	FALSE
abhimanyu	52	5	FALSE
abhishek	5	3	FALSE
abi	114	14	TRUE
abide	5	3	FALSE
abigail	361	76	FALSE
abigor	10	6	FALSE
abilene	82	28	FALSE
abilidade	18	12	FALSE
abilidades	6	4	FALSE
abilidoso	3	3	FALSE
abin	41	5	FALSE
abir	4	4	TRUE
abismada	11	9	TRUE
abismado	16	16	TRUE
abismal	8	7	TRUE
abismo	351	259	TRUE
abismos	28	27	TRUE
abissais	8	8	TRUE
abissal	7	3	TRUE
abissínia	6	6	TRUE
abjeta	6	6	TRUE
abjeto	7	7	TRUE
abjetos	4	4	TRUE
abjurar	6	4	TRUE
ablação	4	4	TRUE
able	69	16	TRUE
ableman	31	3	FALSE
ablução	6	4	TRUE
abnegada	8	8	TRUE
abnegado	19	13	TRUE
abnegação	9	9	TRUE
abner	57	21	FALSE
abo	6	4	TRUE
abobada	5	5	TRUE
abobadado	7	7	TRUE
abobadados	4	4	TRUE
abobado	25	20	TRUE
abobados	3	3	TRUE
abobalhada	4	3	TRUE
abobalhado	9	7	TRUE
abobalhados	6	3	TRUE
abobrinha	26	24	TRUE
abobrinhas	19	12	TRUE
aboca	10	7	TRUE
abocanha	5	5	TRUE
abocanhando	3	3	TRUE
abocanhar	9	9	TRUE
abocanhou	4	4	TRUE
abolicionista	15	7	TRUE
abolicionistas	15	7	TRUE
abolida	21	21	TRUE
abolidas	10	9	TRUE
abolido	20	17	TRUE
abolidos	5	5	TRUE
abolindo	4	4	TRUE
abolir	56	51	TRUE
aboliram	7	7	TRUE
aboliu	15	15	TRUE
abolição	26	22	TRUE
abomina	9	9	TRUE
abominam	4	4	TRUE
abominava	4	4	TRUE
abominavel	5	4	FALSE
abominavelmente	9	7	TRUE
abominação	108	82	TRUE
abominações	19	19	TRUE
abomino	23	22	TRUE
abomináveis	36	33	TRUE
abominável	195	158	TRUE
abominãvel	5	5	FALSE
abonado	9	9	TRUE
abono	15	14	TRUE
abonos	7	4	TRUE
aborda	23	23	TRUE
abordada	14	13	TRUE
abordadas	9	9	TRUE
abordado	41	41	TRUE
abordados	17	13	TRUE
abordagem	357	267	TRUE
abordagens	14	13	TRUE
abordam	8	8	TRUE
abordamos	21	19	TRUE
abordando	22	19	TRUE
abordar	166	146	TRUE
abordaram	30	25	TRUE
abordarei	4	4	TRUE
abordarem	4	4	TRUE
abordaremos	5	5	TRUE
abordaria	3	3	TRUE
abordarmos	4	4	TRUE
abordava	3	3	TRUE
aborde	13	13	TRUE
abordei	10	10	TRUE
abordem	4	4	TRUE
abordo	43	37	TRUE
abordou	51	50	TRUE
abordála	8	8	FALSE
abordálo	15	14	FALSE
abordálos	5	5	FALSE
aborrece	270	237	TRUE
aborrecedor	7	7	TRUE
aborrecela	3	3	FALSE
aborrecelos	3	3	FALSE
aborrecem	66	58	TRUE
aborreceme	4	4	FALSE
aborrecemos	7	7	TRUE
aborrecendo	167	162	TRUE
aborrecer	329	300	TRUE
aborreceram	16	14	TRUE
aborrecerei	11	11	TRUE
aborrecerem	6	6	TRUE
aborreceres	3	3	TRUE
aborreceria	21	21	TRUE
aborrecerme	9	9	FALSE
aborrecerse	7	7	FALSE
aborrecerte	7	6	FALSE
aborrecerá	14	14	TRUE
aborrecesse	8	8	TRUE
aborrecete	3	3	FALSE
aborreceu	108	103	TRUE
aborreceume	3	3	FALSE
aborreceuse	3	3	FALSE
aborreci	36	34	TRUE
aborrecia	26	24	TRUE
aborreciam	5	5	TRUE
aborrecida	345	291	TRUE
aborrecidas	40	33	TRUE
aborrecido	583	480	TRUE
aborrecidos	69	67	TRUE
aborrecimento	110	107	TRUE
aborrecimentos	35	34	TRUE
aborrecêla	37	36	FALSE
aborrecêlo	45	43	FALSE
aborrecêlos	7	7	FALSE
aborreãa	5	5	FALSE
aborreça	226	207	TRUE
aborreçam	20	18	TRUE
aborreças	9	6	TRUE
aborreço	46	43	TRUE
aborreçome	4	4	FALSE
aborta	5	5	TRUE
abortada	24	22	TRUE
abortado	38	33	TRUE
abortados	14	8	TRUE
abortam	3	3	TRUE
abortamos	3	3	TRUE
abortando	15	11	TRUE
abortar	336	198	TRUE
abortaram	5	5	TRUE
abortarem	6	5	TRUE
abortaremos	3	3	TRUE
abortasse	8	8	TRUE
aborte	31	27	TRUE
abortei	12	11	TRUE
abortem	25	18	TRUE
aborto	494	288	TRUE
abortos	67	57	TRUE
abortou	39	35	TRUE
abortálo	3	3	FALSE
aborígene	22	12	TRUE
aborígenes	43	24	TRUE
aborígine	16	11	TRUE
aborígines	34	18	TRUE
abotoa	11	11	TRUE
abotoada	3	3	TRUE
abotoado	10	10	TRUE
abotoados	3	3	TRUE
abotoadura	14	10	TRUE
abotoaduras	53	45	TRUE
abotoar	41	37	TRUE
abotoe	33	31	TRUE
abotoese	5	5	FALSE
abotoou	10	9	TRUE
abou	43	9	TRUE
about	176	100	FALSE
above	28	28	FALSE
abr	8	7	TRUE
abra	7886	4008	TRUE
abraa	59	53	FALSE
abraas	3	3	FALSE
abracadabra	70	57	TRUE
abrace	290	229	TRUE
abracea	17	14	FALSE
abracei	55	51	TRUE
abracem	25	22	TRUE
abraceme	143	104	FALSE
abracemos	5	5	TRUE
abracemse	10	8	FALSE
abraceo	8	8	FALSE
abraces	5	5	TRUE
abracinho	4	3	TRUE
abraco	9	4	TRUE
abracurcix	8	3	FALSE
abraham	328	163	FALSE
abrahams	91	7	FALSE
abram	1918	1234	TRUE
abrame	7	6	FALSE
abramna	8	7	FALSE
abramnas	3	3	FALSE
abramno	9	9	FALSE
abramos	6	6	TRUE
abramovich	4	3	FALSE
abrams	27	14	FALSE
abranda	35	31	TRUE
abrandada	3	3	TRUE
abrandado	3	3	TRUE
abrandamento	6	6	TRUE
abrandando	9	9	TRUE
abrandar	75	63	TRUE
abrandará	4	4	TRUE
abrande	17	11	TRUE
abrandem	5	3	TRUE
abrandou	9	9	TRUE
abrandála	3	3	FALSE
abrandálo	4	4	FALSE
abrange	38	38	TRUE
abrangem	4	4	TRUE
abrangendo	14	14	TRUE
abrangente	45	41	TRUE
abrangentes	7	6	TRUE
abranger	8	8	TRUE
abrangeria	3	3	TRUE
abrangerá	3	3	TRUE
abrangia	4	4	TRUE
abrangido	6	6	TRUE
abrangidos	7	6	TRUE
abrangência	4	4	TRUE
abrao	89	76	FALSE
abraos	31	27	FALSE
abras	24	22	TRUE
abrasador	22	17	TRUE
abrasadoras	5	5	TRUE
abrasar	7	7	TRUE
abrase	16	13	TRUE
abrasivo	7	6	TRUE
abrasão	10	9	TRUE
abrasões	11	10	TRUE
abrate	6	6	FALSE
abraxas	14	4	TRUE
abraãa	3	3	FALSE
abraãar	16	14	FALSE
abraão	245	107	TRUE
abraãos	9	7	FALSE
abraãou	11	9	FALSE
abraça	210	169	TRUE
abraçada	29	26	TRUE
abraçadas	8	8	TRUE
abraçadinhos	4	4	TRUE
abraçado	71	59	TRUE
abraçador	4	4	TRUE
abraçados	37	34	TRUE
abraçala	6	6	FALSE
abraçam	34	33	TRUE
abraçame	29	26	FALSE
abraçamos	47	44	TRUE
abraçamse	4	4	FALSE
abraçando	146	133	TRUE
abraçar	608	506	TRUE
abraçaram	20	20	TRUE
abraçarei	23	19	TRUE
abraçarem	7	7	TRUE
abraçaria	15	15	TRUE
abraçarme	9	9	FALSE
abraçarmos	4	4	TRUE
abraçarte	12	9	FALSE
abraçará	11	11	TRUE
abraçarão	3	3	TRUE
abraças	6	4	TRUE
abraçasse	15	15	TRUE
abraçassem	3	3	TRUE
abraçava	33	32	TRUE
abraçavam	8	8	TRUE
abraçe	17	13	FALSE
abraçeme	11	9	FALSE
abraço	1112	846	TRUE
abraços	171	155	TRUE
abraçou	145	132	TRUE
abraçoume	6	6	FALSE
abraçála	102	88	FALSE
abraçálas	4	4	FALSE
abraçálo	87	76	FALSE
abraçálos	19	15	FALSE
abração	14	13	TRUE
abre	2838	1858	TRUE
abrea	24	20	FALSE
abrealas	3	3	FALSE
abrelatas	7	4	FALSE
abrelhe	6	6	FALSE
abrem	354	312	TRUE
abreme	4	4	FALSE
abremse	15	14	FALSE
abrenos	5	4	FALSE
abreo	15	11	FALSE
abreos	5	4	FALSE
abres	34	30	TRUE
abrese	22	22	FALSE
abrete	34	20	FALSE
abrevia	3	3	TRUE
abreviada	3	3	TRUE
abreviado	10	10	TRUE
abreviando	4	4	TRUE
abreviar	34	33	TRUE
abreviatura	18	18	TRUE
abreviação	33	30	TRUE
abreviações	3	3	TRUE
abreviemos	3	3	TRUE
abri	663	594	TRUE
abria	140	126	TRUE
abriam	30	29	TRUE
abriamse	4	4	FALSE
abriase	6	6	FALSE
abricó	17	9	TRUE
abridor	88	76	TRUE
abridores	7	7	TRUE
abriga	91	79	TRUE
abrigada	15	14	TRUE
abrigadas	3	3	TRUE
abrigado	22	15	TRUE
abrigados	16	15	TRUE
abrigam	31	28	TRUE
abrigamos	5	5	TRUE
abrigamse	4	4	FALSE
abrigando	25	25	TRUE
abrigar	141	131	TRUE
abrigaram	12	12	TRUE
abrigarem	5	5	TRUE
abrigarmos	4	4	TRUE
abrigarse	8	6	FALSE
abrigará	7	7	TRUE
abrigate	4	3	FALSE
abrigava	14	12	TRUE
abrigavam	3	3	TRUE
abrigo	1365	852	TRUE
abrigos	175	132	TRUE
abrigou	31	31	TRUE
abrigouse	5	5	FALSE
abrigue	8	8	TRUE
abriguei	10	9	TRUE
abriguemse	62	47	FALSE
abriguese	10	8	FALSE
abrigála	5	5	FALSE
abrigálo	6	6	FALSE
abrigálos	4	4	FALSE
abrii	6	5	FALSE
abril	1186	727	TRUE
abrila	151	137	FALSE
abrilas	25	25	FALSE
abrilhantado	3	3	TRUE
abrilhantar	3	3	TRUE
abrilhe	3	3	FALSE
abrilo	137	127	FALSE
abrilos	50	44	FALSE
abrimos	351	323	TRUE
abrindo	714	612	TRUE
abrindoa	7	7	FALSE
abrindoo	3	3	FALSE
abrindose	6	6	FALSE
abrir	6483	4130	TRUE
abrira	7	7	TRUE
abriram	411	377	TRUE
abriramna	3	3	FALSE
abriramse	6	5	FALSE
abrirei	127	121	TRUE
abrirem	120	117	TRUE
abriremos	127	114	TRUE
abrires	9	9	TRUE
abriria	104	103	TRUE
abririam	14	13	TRUE
abrirlhe	11	11	FALSE
abrirme	6	6	FALSE
abrirmos	76	71	TRUE
abrirnos	3	3	FALSE
abrirse	26	25	FALSE
abrirseá	6	3	FALSE
abrirá	210	198	TRUE
abrirás	5	4	TRUE
abrirã	7	6	FALSE
abrirão	84	79	TRUE
abriríamos	4	4	TRUE
abris	3	3	TRUE
abrisse	121	119	TRUE
abrissem	22	22	TRUE
abriste	27	23	TRUE
abriu	1799	1446	TRUE
abriua	6	6	FALSE
abriulhe	3	3	FALSE
abriume	11	10	FALSE
abriuo	4	4	FALSE
abriuse	34	34	FALSE
abrll	8	7	FALSE
abrlr	7	6	FALSE
abro	446	411	TRUE
abromowitz	4	3	FALSE
abrote	6	6	TRUE
abrupta	20	19	TRUE
abruptamente	47	44	TRUE
abruptas	5	5	TRUE
abrupto	24	22	TRUE
abruptos	4	4	TRUE
abruzzi	24	9	FALSE
abruzzo	7	3	FALSE
abrámov	4	4	FALSE
abrão	7	6	FALSE
abrí	5	5	FALSE
abríamos	12	12	TRUE
abríla	29	28	FALSE
abrílas	3	3	FALSE
abrílo	13	13	FALSE
abrír	6	4	FALSE
abríssemos	12	12	TRUE
abs	28	14	FALSE
abscesso	13	11	TRUE
abscessos	4	4	TRUE
absenteísmo	4	3	TRUE
absentia	3	3	FALSE
absinto	88	48	TRUE
absintos	9	4	TRUE
absoiuta	13	11	FALSE
absoiutamente	26	21	FALSE
absoiuto	6	5	FALSE
absolon	27	3	FALSE
absolument	5	5	FALSE
absolut	13	6	FALSE
absoluta	804	706	TRUE
absolutamente	3382	2278	TRUE
absolutas	20	19	TRUE
absolutista	4	3	TRUE
absoluto	644	526	TRUE
absolutos	19	18	TRUE
absolva	8	7	TRUE
absolvam	7	7	TRUE
absolve	15	15	TRUE
absolvemos	3	3	TRUE
absolver	26	25	TRUE
absolveram	7	7	TRUE
absolverei	4	4	TRUE
absolverá	4	4	TRUE
absolveu	17	16	TRUE
absolvida	22	18	TRUE
absolvido	104	86	TRUE
absolvidos	17	16	TRUE
absolvição	90	78	TRUE
absolvições	3	3	TRUE
absolvo	44	36	TRUE
absolvêlo	9	8	FALSE
absolvêlos	3	3	FALSE
absorta	8	8	TRUE
absorto	15	14	TRUE
absortos	9	9	TRUE
absorva	15	15	TRUE
absorve	95	90	TRUE
absorvedores	4	3	TRUE
absorvem	34	33	TRUE
absorvemos	6	5	TRUE
absorvendo	51	47	TRUE
absorvente	57	48	TRUE
absorventes	36	28	TRUE
absorveo	4	4	FALSE
absorver	154	143	TRUE
absorveram	10	10	TRUE
absorverá	8	7	TRUE
absorveu	46	42	TRUE
absorvi	11	11	TRUE
absorvia	8	6	TRUE
absorviam	4	3	TRUE
absorvida	36	33	TRUE
absorvidas	11	11	TRUE
absorvido	76	70	TRUE
absorvidos	16	16	TRUE
absorvo	8	8	TRUE
absorvêlas	3	3	FALSE
absorvêlo	4	4	FALSE
absorção	33	31	TRUE
abstendo	5	5	TRUE
abstenha	4	4	TRUE
abstenham	3	3	TRUE
abstenhase	3	3	FALSE
abstenho	4	4	TRUE
abstenção	20	12	TRUE
abstenções	5	4	TRUE
abster	24	20	TRUE
absterme	4	4	FALSE
absterse	14	13	FALSE
abstinente	3	3	TRUE
abstinência	98	71	TRUE
abstivéssemos	3	3	TRUE
abstracto	8	8	FALSE
abstrata	49	38	TRUE
abstratamente	4	4	TRUE
abstratas	20	18	TRUE
abstrato	68	53	TRUE
abstratos	17	13	TRUE
abstração	29	23	TRUE
abstrações	8	8	TRUE
abstém	10	9	TRUE
abstêm	4	4	TRUE
abstêmio	21	19	TRUE
abstêmios	3	3	TRUE
absurda	280	254	TRUE
absurdamente	41	38	TRUE
absurdas	93	88	TRUE
absurdo	1438	1115	TRUE
absurdos	109	97	TRUE
abu	232	62	TRUE
abuela	3	3	FALSE
abul	9	3	TRUE
abunda	10	10	TRUE
abundam	14	13	TRUE
abundancia	13	9	TRUE
abundante	143	108	TRUE
abundantemente	14	12	TRUE
abundantes	72	61	TRUE
abundavam	8	7	TRUE
abundância	245	203	TRUE
abundãncia	19	8	FALSE
abusa	59	57	TRUE
abusada	46	43	TRUE
abusadas	24	19	TRUE
abusado	101	92	TRUE
abusador	10	9	TRUE
abusadores	27	4	TRUE
abusados	32	27	TRUE
abusam	29	28	TRUE
abusamos	9	8	TRUE
abusando	99	86	TRUE
abusar	225	208	TRUE
abusaram	27	27	TRUE
abusarei	4	4	TRUE
abusarem	11	11	TRUE
abusaria	4	4	TRUE
abusasse	6	6	TRUE
abusava	23	21	TRUE
abusavam	7	7	TRUE
abuse	95	92	TRUE
abusei	33	32	TRUE
abusem	8	8	TRUE
abuses	10	10	TRUE
abusiva	22	18	TRUE
abusivas	11	10	TRUE
abusivo	33	25	TRUE
abusivos	10	9	TRUE
abuso	491	355	TRUE
abusos	142	112	TRUE
abusou	100	91	TRUE
abutre	168	105	TRUE
abutres	205	159	TRUE
aby	72	4	FALSE
abãbora	9	6	FALSE
abóbada	65	32	TRUE
abóbadas	14	10	TRUE
abóboda	4	4	TRUE
abóbora	361	142	TRUE
abóboras	94	43	TRUE
ac	393	179	FALSE
aca	22	9	TRUE
acaba	4682	3233	TRUE
acabada	317	290	TRUE
acabadas	19	19	TRUE
acabadinha	5	4	TRUE
acabado	3192	2404	TRUE
acabados	246	217	TRUE
acabam	922	828	TRUE
acabamento	76	65	TRUE
acabamentos	15	13	TRUE
acabamme	5	5	FALSE
acabamos	2304	1892	TRUE
acabamse	8	8	FALSE
acabando	1199	1036	TRUE
acabar	10077	5598	TRUE
acabara	107	95	TRUE
acabaram	1737	1502	TRUE
acabaramse	103	93	FALSE
acabarcom	5	5	FALSE
acabarei	182	167	TRUE
acabarem	199	191	TRUE
acabaremos	192	175	TRUE
acabares	24	21	TRUE
acabaria	470	444	TRUE
acabariam	73	70	TRUE
acabarmos	173	167	TRUE
acabarse	5	5	FALSE
acabará	850	754	TRUE
acabarás	15	15	TRUE
acabarã	21	16	FALSE
acabarão	172	166	TRUE
acabaríamos	45	42	TRUE
